32	Fitness Freak Gym	fitness-freak-gym-govindpuri-demo	ChIJ4UfwukphDDkRucIIZThshkE	918266817154	4.6	37	Kapil Kumar	4	2026-09-17	Great	1	Danish Ali	5	2024-07-08	Best gym modinagar	1
33	Next Level Gym	next-level-gym-amar-enclave-demo	ChIJZ5ov2TlgDDkRSuvjel4dGfc	919119749078	4.4	255	Priyanshu Makhija	5	2021-08-31	Trainers are also very helpful.	1	Ashok sonic ji KANHA JEWELLERS	5	2020-09-03	One of the finest gym in modinagar..	1
34	Armour Fitness Studio	armour-fitness-studio-new-colony-demo	ChIJ4TbFqgZhDDkR_o5sW6u--i8	918077848073	4.8	180	Ujjwal Tyagi	5	2026-08-08	One of the best quality machines which get properly maintained.	1	Tannu Mishra	5	2026-03-10	Such a wonderful experience	1
35	King Fitness Club	king-fitness-club-surya-enclave-demo	ChIJpccC2SJfDDkRt5W4ZOSt9-0	917409450505	4.8	49	Ashu Nirwal	5	2022-10-02	Provides best training techniques and have good quality equipments	1	Abhinav sindhu	5	2022-07-18	PEOPLE ARE NICE TO ONE ANOTHER LIKE IN A FRIENDLY COMMUNITY	1
36	Baba the fitness gym	baba-the-fitness-gym-adarsh-nagar-demo	ChIJ1bKQ7K6KDDkRRog0dTkwZ4Y	919837626093	4.9	483	Gulshan Bhagat	5	2026-04-21	Best coach	0	Sagar Jatav	5	2022-08-25	Very good gym & coach pankaj pandit (BaBa)	0
37	Track Crack (A Unique fitness studio)	track-crack-a-unique-fitness-studio-govindpuri-demo	ChIJQXO6p3phDDkRzBOkmLNhp90	917417703781	4.4	40	anshul rajput	5	2026-05-13	Good	1	shivani tyagi	5	2023-09-01	helpful trainers and the owner is also supportive & helpful.	1
38	BEAST A Fitness Junction	beast-a-fitness-junction-muradnagar-demo	ChIJQ9saGSv1DDkRyqil7nuavOc	918077970737	4.9	78	sachin kumar	5	2026-02-18	Friendly staff and a great trainer	1	Gorav Kumar Yadav	5	2026-03-24	GOOD EQUIPMENT & GOOD ATMOSPHERE	1
39	Fitforensic Unisex Gym	fitforensic-unisex-gym-asalatnagar-demo	ChIJE98r2QD1DDkR9wusH0HzJZY	917017480875	4.6	29	DP Vishwakarma	5	2025-11-26	The environment is super motivating, clean, and perfect for all fitness levels	1	Urmila Karakoti	5	2026-09-03	Good gym,, owner and trainer both supportive	1
40	The viva fitness unisex gym	the-viva-fitness-unisex-gym-radhey-shyam-phase-5-demo	ChIJtYHwL0b1DDkRoXQLkFiISj4	919548186334	4.9	91	Harsh Goswami	5	2026-09-01	very friendly environment	1	Silvi Chaudhary	5	2026-06-15	Nice gym, supportive staff, and good equipment.	1
41	The Gold Gym	the-gold-gym-muradnagar-demo	ChIJE5_wB571DDkR7mjl5CyVEqk	919410231598	4.8	24	deepak singh	5	2023-06-05	Nice place for workout	0	Asran Khan	5	2024-09-13	Good best well beautiful	0
42	Gd Gym	gd-gym-anand-vihar-demo	ChIJo60cFLOKDDkRufz4QHnjrzw	919897017364	4.9	17	Prerit Singh	5	2025-08-28	Excellent 👍	1	Naresh nirwal	5	2024-08-07	Smooth experience, almost all machine & weight is available	1
43	Golden Petals Banquet	golden-petals-banquet-kadrabad-demo	ChIJdwJH5UxgDDkR-oo8pqTq5ug	919897486279	4.1	271	Kuldeep Choudhary	5	2025-11-28	Fast & Clean service.	1	KK Lohia	5	2024-12-14	Nice Banquet hall at outskirts of Modinagar UP	1
44	Jagdish Farms	jagdish-farms-niwari-dehat-demo	ChIJxwv_IwBfDDkRvF82pNbN_PQ	919149232124	4.9	48	Soumya Bhardwaj	5	2024-11-13	It's amazing for family gatherings and weddings. Their service is top notch!	1	Rahul Kumar	5	2025-05-29	Splendid place to visit and to book	1
45	Avlok Utsav mandap	avlok-utsav-mandap-bisokhar-demo	ChIJk8yZNB5gDDkRTJWa9YTTuo0	919837006156	4.2	18	Rahul Kumar	5	2023-02-21	Both indoor and outdoor arrangements are here.	1	Vipin Gupta	5	2024-03-09	Very good place	1
46	Raj Rajeshwari Banquet (RR Banquet) Morta	raj-rajeshwari-banquet-rr-banquet-morta-morta-demo	ChIJp_ILrDvxDDkRF67JJkLDh54	919891562859	4.7	44	Vivek Sharma	4	2026-03-01	Spacious, no parking headache...nice banquet	1	Abhishek Jha	4	2026-05-04	Expensive but worth it. Staffs are quite friendly.	1
47	The moonlight manor	the-moonlight-manor-morti-demo	ChIJia08PsjxDDkRgcjhjVxIy4o	918800758325	4.8	22	Ravi Swami	5	2025-04-04	The staff was incredibly professional, courteous, and attentive to every detail.	1	Ankit Vashishtha	5	2025-04-05	An elegant setting with ambient lighting💡and exquisite decor	1
48	BR FARM MORTA	br-farm-morta-morta-demo	ChIJze5fWQDxDDkRgROQu83jTjI	918851135035	4.6	18	Ankur688 Tyagi	5	2026-06-25	Value foe money Very big Huge parking	1	Khushi Tyagi	5	2026-05-23	Nice farm house for any function	1
49	Riddhi Siddhi Banquet hall	riddhi-siddhi-banquet-hall-raj-nagar-extension-demo	ChIJDTHnoNPxDDkRDUkwDIPxXkc	918800270454	4.7	26	DeeJay Sid Sean	5	2026-03-01	Good location, built in space for cooking.	1	Gautam Chaudhari	5	2026-05-02	The best fram	1
50	Madhuvan Banquet and Lawn	madhuvan-banquet-and-lawn-raj-nagar-extension-demo	ChIJxx_GiAHxDDkRbW4929DefJM	919560207072	4.4	50	Zaid Salmani	5	2026-05-14	We really liked this farmhouse and its service 👍	1	gajender bisht	5	2026-04-14	Good food and good decoration	1
51	Golden First Banquet Hall	golden-first-banquet-hall-johripur-demo	ChIJmRtsUuv9DDkRhE_QVpa5Cns	918383958136	4.2	68	manisha verma	5	2024-04-17	Fabulous arrangements...	1	Praveen Kardam	5	2022-08-17	Hospitality is very good.	1
52	FIT GENERATION GYM	fit-generation-gym-durgapuri-extension-demo	ChIJ51DerL37DDkRB2LHCtPOBlk	918700954343	4.9	113	Shivi Sharma	5	2026-09-17	Great gym with a positive and motivating environment.	1	vishal sharma	5	2026-06-11	Well-maintained gym with a positive atmosphere and professional staff.	1
53	TITANIUM GYM	titanium-gym-kabir-nagar-demo	ChIJv47O8XD9DDkRDz9A2oxSWX0	919211636353	4.7	143	vikash yadav	5	2026-07-24	Excellent machine	1	Danish Saifi	5	2025-09-22	Ambience is really good. Trainers are really good	1
54	FITNESS ZONE GYM 3	fitness-zone-gym-3-durgapuri-extension-demo	ChIJoS6RQUn7DDkRwS_Mdz2UhUE	919870281921	5.0	33	Dr. Himanshu Sharma	5	2026-05-05	Overall ambiance is good. Staff is coperative. Air Ventilation is good.	1	Astro Tarun Kr	5	2024-09-10	Good crowd with a friendly environment, professional coach	1
55	Fitness Line Gym	fitness-line-gym-west-jyoti-nagar-demo	ChIJly1Cy4_7DDkR15zi_trTNZ8	919999994815	4.1	62	Atul	5	2024-06-14	Gym for good health and fitness.	1	Neha Nagar	4	2022-12-02	the trainer is so helpful and humble	1
56	Flex Nation Gym	flex-nation-gym-west-jyoti-nagar-demo	ChIJL4mAqGj7DDkRRxrMp_0kC_I	919818522262	4.3	63	Ansh Kaushik	5	2026-01-13	Good gym	1	hritik tyagi	5	2024-06-09	Good place with less and friendly crowd. Well equipped. Well maintained.	1
57	Brajwasi fitness club	brajwasi-fitness-club-saboli-demo	ChIJSzit1bT7DDkROzJuXspv1ag	919910124286	4.3	85	Pankaj Raj	5	2026-03-31	अति सुन्दर	1	ALOK FREE DISH SERVICE	5	2026-01-07	Very nice	1
58	True Fitness Gym	true-fitness-gym-meet-nagar-demo	ChIJw78beAD7DDkRrQ_I011TkvM	919971785964	5.0	22	Arnav Pandit	5	2026-09-15	Cool ambience and trainer here is really knowledgeable.	1	Reeta	5	2026-09-15	Best trainer ever	1
59	Celebration Hall	celebration-hall-dayalpur-demo	ChIJXTbAMAD9DDkRiFRc8QjtRac	919555514339	4.4	41	Shivbhola Singh	5	2025-08-16	Best place for reception marriage anniversary birthday all programs	1	Saurabh singh8796	5	2025-06-07	Good service	1
60	KS tower	ks-tower-khazoori-khas-demo	ChIJz4Qvb1_9DDkRpZoDCGWJYkA	919990501307	4.1	67	Deepak Singh	5	2024-04-08	Very nice place for get together	1	Akshat Choudhary	5	2025-04-28	Nice and open space	1
61	Royal palace (Loni)	royal-palace-loni-loni-demo	ChIJGeeLXWj_DDkRsN7GeF4ItPI	918287058263	4.0	87	MOHD ZARIF SAIFI	5	2025-08-19	Good location good parking area	1	Rubina	5	2024-07-26	My experience is good. I recommend it	1
